# x80,y99,z0,u,v,p,T
3.938014031714667240e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.323294266486795578e+01,3.700000000000000000e+02
4.216991539047976190e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.323113016050858448e+01,3.700000000000000000e+02
4.515497471894616144e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.322945015111690026e+01,3.700000000000000000e+02
4.834898820040521850e-01,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.700000000000000000e+02
-1.763707217682217859e-02,1.227469958079341252e-04,0.000000000000000000e+00,3.225837540267643817e+03,0.000000000000000000e+00,6.666999999999999815e+00,3.000000000000000000e+02
-1.343385788699495362e-02,1.227469958079341252e-04,0.000000000000000000e+00,3.225837371754777905e+03,1.781711838668572108e-05,6.667032489070077617e+00,3.000014709899971308e+02
-1.016032650862484267e-02,1.227469958079341252e-04,0.000000000000000000e+00,3.225834858838441050e+03,3.248227288236258010e-04,6.667455611232830037e+00,3.000207238890598092e+02
-7.610847241981452682e-03,1.227469958079341252e-04,0.000000000000000000e+00,3.225816542700277296e+03,2.470280931185308160e-03,6.670166558478741514e+00,3.001439161890200467e+02
-5.625271489143922679e-03,1.227469958079341252e-04,0.000000000000000000e+00,3.225623278846091580e+03,2.529178715178810946e-02,6.697159609214396347e+00,3.013674118982654022e+02
-4.078872927743976140e-03,1.227469958079341252e-04,0.000000000000000000e+00,3.224651291102032246e+03,1.411707769749096231e-01,6.816029380656119407e+00,3.067461603059384743e+02
-2.874512677432492121e-03,1.227469958079341252e-04,0.000000000000000000e+00,3.216890586853495734e+03,1.008072062424889337e+00,7.769855375006728515e+00,3.496301767290173075e+02
-1.936537404604233474e-03,1.227469958079341252e-04,0.000000000000000000e+00,3.190092883745599465e+03,4.667222180137266641e+00,1.047069287487700784e+01,4.710354128949234109e+02
-1.206027067510574095e-03,1.227469958079341252e-04,0.000000000000000000e+00,3.024105094628826919e+03,2.096510054917978749e+01,2.885487347928794577e+01,1.267810826863956891e+03
-6.370937831697178052e-04,1.227469958079341252e-04,0.000000000000000000e+00,2.739431085754774358e+03,6.552933564297910607e+01,4.975365212244901869e+01,2.132585186395003802e+03
-1.939993249603281882e-04,1.227469958079341252e-04,0.000000000000000000e+00,1.084859149785164391e+03,1.709390271875190876e+02,3.766613041508267656e+02,8.142358553167679929e+03
